RA Dec redshift phot_index luminosity nh_values
221.11783130775 1.948885064696 0.5758 1.69553 1.9420591314323818e+44 21.22336
258.28987095487 60.024271616094 1.9255 2.36402 6.339871185737928e+45 20.61795
258.71008149717 60.235807373821 0.59957 2.05946 1.1633546429665158e+44 20.81141
258.14489736341 60.091729380192 1.0257 1.74178 2.71930679123514e+44 20.73616
169.05475796219 44.277926813257 0.90352 2.66151 2.6370842005468892e+45 20.45793
163.90299419631 57.865698808593 0.3259 4.04522 2.5057114837504246e+43 21.46768
130.57670841919 36.417882122688 1.8755 1.76105 4.112313380398791e+44 20.71947
327.64007502637 -5.7687288017915 1.8255 2.2649 2.0321662834496273e+45 21.25051
126.31958385821 26.401649704083 0.6758 2.15028 1.1923343957554362e+44 20.65298
187.35362579272 12.691896302883 1.4755 1.83691 7.987379052593337e+44 21.89494
274.49914608604 74.483062877583 0.7258 1.49466 7.910171014088396e+43 20.46244
194.85374552755 31.471256906689 0.3259 2.09305 1.5090410828468975e+43 20.43925
213.06493066266 79.199691594678 0.9757 2.03537 2.2251805091762332e+44 20.6073
213.34667167332 79.496547733727 0.7258 2.33056 4.650245410820115e+43 20.31593
213.24790559151 79.333106147125 1.8755 1.57052 3.564726402802366e+44 20.6193
33.716190841668 -5.4249686324738 0.4259 1.71243 3.107162692394171e+43 21.90996
33.65583191062 -5.5030433251971 0.5758 4.20949 1.0798972844609809e+44 20.19048
260.79306878036 59.851554602382 0.52141 2.60993 6.023246742858994e+43 20.72525
194.20049706541 -5.6469757807838 2.49356 4.89552 2.945640316635262e+45 21.80927
184.56135101662 37.653621440682 2.3753 2.19052 1.1512268319052551e+45 21.07448
187.90588612598 12.946354957539 2.69134 2.2316 8.295148931479424e+44 20.42608
187.46199719069 12.196229517406 0.8758 2.77568 6.888553833217227e+43 20.69195
187.47966502654 11.986065689782 0.21505 2.21938 1.9112132105727943e+43 20.95702
187.5196390678 12.031336657704 1.1757 2.21998 3.004866135487354e+44 20.83089
187.38057211587 12.182678893329 0.2323 2.57854 5.451230171902444e+42 20.32479
188.13621963879 12.178388664684 1.05896 2.32523 4.853235353297902e+44 20.60308
188.10288741762 12.214452630963 0.24812 2.45221 9.677057862612609e+43 20.47138
188.25092613811 12.172461413984 0.33365 1.81297 1.3340109734274142e+43 20.24816
187.88733965974 12.182129874269 0.5758 2.55345 6.238532603092748e+43 20.35765
102.10346368381 70.078099484158 1.52763 2.26306 1.2542539022420151e+45 20.37089
101.92814902803 70.094749238582 0.6758 1.91538 2.8633080377742825e+43 21.03176
116.39161642658 39.345777219551 0.6758 1.8073 3.812747740739904e+43 21.76307
116.07756881275 39.384463026288 0.9257 4.2239 6.786792767811695e+43 23.00764
219.66773878461 -7.011845710453 0.59289 1.7792 2.662111643379222e+44 21.01075
219.61678214477 -7.000371277601 1.6255 1.85275 1.0978055140728902e+45 20.29216
219.56737070267 -6.9724579249645 1.0757 2.29928 2.142913221325082e+44 20.00814
158.45162622184 39.540138539257 0.3259 2.25555 3.6272798503385504e+43 20.53847
158.73472198855 39.661372352292 1.3756 2.38075 6.086917628073681e+44 20.19746
158.5956632685 39.610360028764 0.5758 1.80215 1.4228936757256214e+44 20.65435
55.52718231274 15.403414239201 1.5756 1.20328 9.67025369059499e+44 21.08146
236.28073490515 48.805810899494 0.6258 2.14423 1.7275860346197868e+44 20.93356
246.50304419201 34.876969112077 0.5259 2.19043 9.874468065148094e+43 20.63132
220.77335792349 -0.82745206958963 0.7258 1.75629 9.523045795876418e+43 20.6142
220.65598796571 -0.66494084632913 1.3256 2.19897 1.8365711025352877e+44 20.88433
220.59245214262 -0.72452057941621 0.5259 2.50633 7.008962067777242e+43 20.44527
220.76534550699 -0.74366809230648 0.5758 2.36381 8.721927033178469e+43 20.25592
220.81821329913 -0.56675693648997 0.7258 2.14035 4.318131590213478e+44 20.70926
220.74474894558 -0.56904327082533 1.2756 2.0411 1.3817591518519799e+45 20.27567
220.70856135823 -0.71381440961555 1.1257 2.06355 2.2507280584075744e+45 20.40283
